facility_id,zipcode,current_slots,slots_added,expansion_pct,tier1_slots,tier2_slots,tier3_slots,expansion_cost
111953,11226,16,0.26666667,1.6666666875,0.26666667,0.0,0.0,386.6666715
274852,10460,12,1.2,10.0,1.2,0.0,0.0,2240.0
620002,11366,16,1.6,10.0,1.6,0.0,0.0,2320.0
708508,11364,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
911887,11385,16,1.6,10.0,1.6,0.0,0.0,2320.0
267366,11210,16,1.6,10.0,1.6,0.0,0.0,2320.0
404046,11226,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
732829,11411,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
189651,11385,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
269754,10033,14,0.93333333,6.666666642857143,0.93333333,0.0,0.0,1519.9999945714287
183462,11203,16,1.6,10.0,1.6,0.0,0.0,2320.0
663091,10040,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
606328,11361,16,0.26666667,1.6666666875,0.26666667,0.0,0.0,386.6666715
702707,10024,16,1.6,10.0,1.6,0.0,0.0,2320.0
823379,10473,12,1.2,10.0,1.2,0.0,0.0,2240.0
761930,10451,12,1.2,10.0,1.2,0.0,0.0,2240.0
775515,11366,16,1.6,10.0,1.6,0.0,0.0,2320.0
383087,11225,14,0.7,5.0,0.7,0.0,0.0,1140.0000000000002
388051,11691,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
772352,11106,16,1.6,10.0,1.6,0.0,0.0,2320.0
763710,10473,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
768279,10460,12,1.2,10.0,1.2,0.0,0.0,2240.0
422386,11203,16,1.6,10.0,1.6,0.0,0.0,2320.0
338029,10002,14,2.0999999999999996,14.999999999999996,1.4,0.7,0.0,3560.000000000001
715176,10302,16,1.6,10.0,1.6,0.0,0.0,2320.0
206177,11366,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
877787,10461,16,1.6,10.0,1.6,0.0,0.0,2320.0
866954,10475,16,1.6,10.0,1.6,0.0,0.0,2320.0
607806,10461,16,1.6,10.0,1.6,0.0,0.0,2320.0
455098,11214,16,0.53333333,3.3333333125,0.53333333,0.0,0.0,773.3333285000001
730725,11210,16,1.6,10.0,1.6,0.0,0.0,2320.0
474217,11217,16,1.6,10.0,1.6,0.0,0.0,2320.0
864716,11364,16,1.6,10.0,1.6,0.0,0.0,2320.0
816768,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
473178,11433,16,1.6,10.0,1.6,0.0,0.0,2320.0
232025,11691,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
260106,10475,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
260924,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
535618,11106,16,1.6,10.0,1.6,0.0,0.0,2320.0
304292,11417,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
775633,11372,12,1.2,10.0,1.2,0.0,0.0,2240.0
72491,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
835787,11417,16,1.6,10.0,1.6,0.0,0.0,2320.0
309271,11433,16,1.6,10.0,1.6,0.0,0.0,2320.0
337507,11225,12,1.2,10.0,1.2,0.0,0.0,2240.0
867514,11364,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
882844,10475,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
752110,11419,16,1.6,10.0,1.6,0.0,0.0,2320.0
325727,11411,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
370209,11417,16,1.6,10.0,1.6,0.0,0.0,2320.0
152381,11207,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
698932,11419,16,1.6,10.0,1.6,0.0,0.0,2320.0
454206,10475,14,2.0999999999999996,14.999999999999996,1.4,0.7,0.0,3560.000000000001
875139,10473,16,1.6,10.0,1.6,0.0,0.0,2320.0
209561,11203,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
794252,10461,16,1.6,10.0,1.6,0.0,0.0,2320.0
695557,11373,16,1.6,10.0,1.6,0.0,0.0,2320.0
103447,11226,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
473911,10033,12,1.2,10.0,1.2,0.0,0.0,2240.0
250493,10040,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
876224,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
820959,11216,16,1.6,10.0,1.6,0.0,0.0,2320.0
364340,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
221078,10461,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
784766,11385,16,1.6,10.0,1.6,0.0,0.0,2320.0
656634,11411,16,1.6,10.0,1.6,0.0,0.0,2320.0
880391,11220,12,1.2,10.0,1.2,0.0,0.0,2240.0
113654,10040,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
844741,10473,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
877118,10460,14,0.7,5.0,0.7,0.0,0.0,1140.0000000000002
298234,10475,16,1.6,10.0,1.6,0.0,0.0,2320.0
867623,11106,16,1.6,10.0,1.6,0.0,0.0,2320.0
72335,11419,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
661102,10002,16,1.6,10.0,1.6,0.0,0.0,2320.0
881129,11239,16,3.2,20.0,1.6,0.8,0.8,5440.0
725404,11373,16,1.6,10.0,1.6,0.0,0.0,2320.0
588557,11106,16,1.6,10.0,1.6,0.0,0.0,2320.0
450694,10040,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
758083,10453,12,1.2,10.0,1.2,0.0,0.0,2240.0
806802,11419,16,1.6,10.0,1.6,0.0,0.0,2320.0
483724,10473,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
344398,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
460961,11226,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
71817,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
730596,11433,16,1.6,10.0,1.6,0.0,0.0,2320.0
872117,11214,16,1.6,10.0,1.6,0.0,0.0,2320.0
758605,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
451719,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
847603,10033,12,1.2,10.0,1.2,0.0,0.0,2240.0
489365,10460,12,1.2,10.0,1.2,0.0,0.0,2240.0
429745,11216,12,1.2,10.0,1.2,0.0,0.0,2240.0
101938,11203,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
813364,11239,8,1.2000000000000002,15.000000000000002,0.8,0.4,0.0,3320.0
824248,11411,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
694278,10473,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
760196,11203,12,1.2,10.0,1.2,0.0,0.0,2240.0
393083,10473,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
838773,11106,16,1.6,10.0,1.6,0.0,0.0,2320.0
879462,10473,16,1.6,10.0,1.6,0.0,0.0,2320.0
877697,10461,16,1.6,10.0,1.6,0.0,0.0,2320.0
827742,11364,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
183642,10460,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
612137,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
688158,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
758423,11220,12,1.2,10.0,1.2,0.0,0.0,2240.0
879838,11216,16,1.6,10.0,1.6,0.0,0.0,2320.0
793907,10002,16,1.6,10.0,1.6,0.0,0.0,2320.0
876843,11106,16,1.6,10.0,1.6,0.0,0.0,2320.0
293154,11411,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
597370,11373,16,1.6,10.0,1.6,0.0,0.0,2320.0
804228,10461,12,1.2,10.0,1.2,0.0,0.0,2240.0
799389,10460,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
819476,11216,16,1.6,10.0,1.6,0.0,0.0,2320.0
859649,11210,16,1.6,10.0,1.6,0.0,0.0,2320.0
817811,10475,16,1.6,10.0,1.6,0.0,0.0,2320.0
360491,11220,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
881044,11419,16,1.6,10.0,1.6,0.0,0.0,2320.0
512939,11366,16,0.26666667,1.6666666875,0.26666667,0.0,0.0,386.6666715
503594,11207,16,0.26666667,1.6666666875,0.26666667,0.0,0.0,386.6666715
309250,11419,14,2.0999999999999996,14.999999999999996,1.4,0.7,0.0,3560.000000000001
580381,11358,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
877081,11432,16,1.6,10.0,1.6,0.0,0.0,2320.0
759700,11217,16,1.6,10.0,1.6,0.0,0.0,2320.0
856744,10033,12,1.2,10.0,1.2,0.0,0.0,2240.0
348922,10473,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
791329,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
418054,11366,16,1.6,10.0,1.6,0.0,0.0,2320.0
730984,11239,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
275294,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
357819,11372,16,1.6,10.0,1.6,0.0,0.0,2320.0
249508,11419,16,1.6,10.0,1.6,0.0,0.0,2320.0
547344,10460,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
508593,11207,16,1.6,10.0,1.6,0.0,0.0,2320.0
288814,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
388926,11433,16,1.6,10.0,1.6,0.0,0.0,2320.0
446483,11356,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
354999,11106,16,1.6,10.0,1.6,0.0,0.0,2320.0
876815,11361,16,1.6,10.0,1.6,0.0,0.0,2320.0
357324,11203,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
376889,10458,250,25.0,10.0,25.0,0.0,0.0,7000.0
710595,10451,12,1.2,10.0,1.2,0.0,0.0,2240.0
704224,11433,16,1.6,10.0,1.6,0.0,0.0,2320.0
287295,10473,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
766593,11411,16,1.6,10.0,1.6,0.0,0.0,2320.0
473941,11210,16,0.26666667,1.6666666875,0.26666667,0.0,0.0,386.6666715
319345,10473,16,1.6,10.0,1.6,0.0,0.0,2320.0
683111,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
761504,10040,16,0.26666667,1.6666666875,0.26666667,0.0,0.0,386.6666715
116757,11207,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
651193,10460,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
216502,10458,214,14.0,6.5420560747663545,14.0,0.0,0.0,4108.41121495327
260901,11385,16,1.0666667,6.666666875000001,1.0666667,0.0,0.0,1546.666715
536050,10460,12,1.2,10.0,1.2,0.0,0.0,2240.0
358621,11217,16,1.6,10.0,1.6,0.0,0.0,2320.0
799875,10460,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
717826,10461,16,1.6,10.0,1.6,0.0,0.0,2320.0
834355,11411,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
290802,10040,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
798935,11216,16,1.6,10.0,1.6,0.0,0.0,2320.0
859389,10475,16,1.6,10.0,1.6,0.0,0.0,2320.0
392278,11417,16,1.6,10.0,1.6,0.0,0.0,2320.0
582991,11358,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
747475,10002,12,1.7999999999999998,15.0,1.2,0.6,0.0,3480.0
843335,10460,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
71620,11226,16,1.6,10.0,1.6,0.0,0.0,2320.0
878155,10475,16,1.6,10.0,1.6,0.0,0.0,2320.0
173268,11379,16,3.2,20.0,1.6,0.8,0.8,5440.0
393974,10461,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
282569,10031,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
835987,11217,16,1.6,10.0,1.6,0.0,0.0,2320.0
256887,11413,16,1.6,10.0,1.6,0.0,0.0,2320.0
819506,11411,16,1.6,10.0,1.6,0.0,0.0,2320.0
787283,10451,12,1.2,10.0,1.2,0.0,0.0,2240.0
749139,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
699053,11413,16,0.53333333,3.3333333125,0.53333333,0.0,0.0,773.3333285000001
387859,11379,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
232876,10460,12,1.2,10.0,1.2,0.0,0.0,2240.0
455011,10033,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
185103,11226,16,1.6,10.0,1.6,0.0,0.0,2320.0
329623,11411,16,1.6,10.0,1.6,0.0,0.0,2320.0
439730,11203,16,1.6,10.0,1.6,0.0,0.0,2320.0
613926,10024,16,1.6,10.0,1.6,0.0,0.0,2320.0
651611,10453,12,1.2,10.0,1.2,0.0,0.0,2240.0
750952,10460,12,1.2,10.0,1.2,0.0,0.0,2240.0
293359,10473,16,1.6,10.0,1.6,0.0,0.0,2320.0
847269,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
667816,11433,16,1.6,10.0,1.6,0.0,0.0,2320.0
793838,11356,16,1.6,10.0,1.6,0.0,0.0,2320.0
563447,10024,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
316682,10473,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
519405,11373,16,1.6,10.0,1.6,0.0,0.0,2320.0
72333,11419,16,2.4000000000000004,15.000000000000002,1.6,0.8,0.0,3640.0
509784,10461,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
709673,11422,200,2.0,1.0,2.0,0.0,0.0,600.0
481335,11372,12,1.2,10.0,1.2,0.0,0.0,2240.0
828162,11379,16,3.2,20.0,1.6,0.8,0.8,5440.0
736939,11373,16,1.6,10.0,1.6,0.0,0.0,2320.0
344265,10031,16,1.6,10.0,1.6,0.0,0.0,2320.0
683803,11356,16,2.13333333,13.3333333125,1.6,0.53333333,0.0,3199.9999945
646079,10473,16,0.26666667,1.6666666875,0.26666667,0.0,0.0,386.6666715
408888,11385,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
361024,10040,16,1.6,10.0,1.6,0.0,0.0,2320.0
587855,11417,16,1.6,10.0,1.6,0.0,0.0,2320.0
456073,10460,12,1.2,10.0,1.2,0.0,0.0,2240.0
861149,11239,16,3.2,20.0,1.6,0.8,0.8,5440.0
837640,11417,16,1.6,10.0,1.6,0.0,0.0,2320.0
771997,11214,12,1.2,10.0,1.2,0.0,0.0,2240.0
730265,11220,16,1.6,10.0,1.6,0.0,0.0,2320.0
811621,11220,16,1.6,10.0,1.6,0.0,0.0,2320.0
400765,10475,16,1.6,10.0,1.6,0.0,0.0,2320.0
789919,11216,12,1.2,10.0,1.2,0.0,0.0,2240.0
406098,11216,12,1.2,10.0,1.2,0.0,0.0,2240.0
603670,11220,14,1.4,10.0,1.4,0.0,0.0,2280.0000000000005
268149,11432,16,0.53333333,3.3333333125,0.53333333,0.0,0.0,773.3333285000001
